Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
129,33,3,119,0,Some Random Commen with Id 129
130,34,9,35,4,Some Random Commen with Id 130
131,34,9,66,6,Some Random Commen with Id 131
132,34,9,194,0,Some Random Commen with Id 132
133,34,9,73,1,Some Random Commen with Id 133
134,34,9,78,4,Some Random Commen with Id 134
135,35,8,69,4,Some Random Commen with Id 135
136,35,8,41,3,Some Random Commen with Id 136
137,35,8,136,2,Some Random Commen with Id 137
138,35,8,188,6,Some Random Commen with Id 138
139,35,8,19,3,Some Random Commen with Id 139
140,36,0,79,7,Some Random Commen with Id 140
141,36,0,97,8,Some Random Commen with Id 141
142,36,0,115,5,Some Random Commen with Id 142
143,36,0,35,2,Some Random Commen with Id 143
144,36,0,42,8,Some Random Commen with Id 144
145,36,0,60,9,Some Random Commen with Id 145
146,37,7,168,9,Some Random Commen with Id 146
147,37,7,1,6,Some Random Commen with Id 147
148,37,7,110,0,Some Random Commen with Id 148
149,37,7,115,2,Some Random Commen with Id 149
150,37,7,152,8,Some Random Commen with Id 150
151,37,7,40,4,Some Random Commen with Id 151
152,37,7,168,9,Some Random Commen with Id 152
153,37,7,121,8,Some Random Commen with Id 153
154,37,7,157,9,Some Random Commen with Id 154
155,39,5,46,1,Some Random Commen with Id 155
156,39,5,188,0,Some Random Commen with Id 156
157,39,5,140,7,Some Random Commen with Id 157
158,39,5,27,9,Some Random Commen with Id 158
159,39,5,192,0,Some Random Commen with Id 159
160,39,5,92,8,Some Random Commen with Id 160
161,39,5,32,8,Some Random Commen with Id 161
